"Index", "Height(Inches)", "Weight(Pounds)"
1, 6578331, 1129925
2, 7151521, 1364873
3, 6939874, 1530269
4, 682166, 1423354
5, 6778781, 1442971
6, 6869784, 1233024
7, 6980204, 1414947
8, 7001472, 1364623
9, 6790265, 1123723
10, 6678236, 1206672
11, 6648769, 1274516
12, 6762333, 114143
13, 6830248, 1256107
14, 6711656, 1224618
15, 6827967, 1160866
16, 710916, 1399975
17, 66461, 1295023
18, 6864927, 1429733
19, 7123033, 1379025
20, 6713118, 1240449
21, 6783379, 1412807
22, 6887881, 1435392
23, 6348115, 9790191
24, 6842187, 1295027
25, 6762804, 1418501
26, 6720864, 1297244
27, 7084235, 1424235
28, 6749434, 1315502
29, 6653401, 1083324
30, 6544098, 1138922
31, 695233, 1033016
32, 658132, 1207536
33, 678163, 1257886
34, 7059505, 1362225
35, 7180484, 1401015
36, 6920613, 1287487
37, 6680368, 1417994
38, 6765893, 1212319
39, 6780701, 1313478
40, 6404535, 1067115
41, 6857463, 1243598
42, 6518357, 1248591
43, 6965814, 1396711
44, 6796731, 1373696
45, 6598088, 1064499
46, 6867249, 1287639
47, 6688088, 1456837
48, 6769868, 116819
49, 6982117, 1436215
50, 6908817, 1349325
51, 6991479, 1470219
52, 6733182, 1263285
53, 7026939, 1254839
54, 6910344, 1157084
55, 6538356, 1234892
56, 7018447, 1478926
57, 7040617, 1558987
58, 6654376, 1280742
59, 6636418, 1193701
60, 67537, 1338148
61, 6650418, 1287325
62, 6899958, 1375453
63, 6830355, 1297604
64, 6701255, 128824
65, 7080592, 1353165
66, 6821951, 1096113
67, 6905914, 1424684
68, 6773103, 132749
69, 6721568, 1035275
70, 6736763, 1247299
71, 6527033, 1293137
72, 7084278, 1340175
73, 6992442, 1403969
74, 6428508, 1028351
75, 682452, 1285214
76, 6635708, 1202991
77, 6836275, 1386036
78, 654769, 1329574
79, 6971947, 1156233
80, 6772554, 122524
81, 6863941, 1346254
82, 6678405, 1218986
83, 7005147, 1553767
84, 6627848, 1289418
85, 6920198, 1291013
86, 6913481, 1394733
87, 6736436, 1408901
88, 7009297, 1315916
89, 701766, 1211232
90, 6822556, 1315127
91, 6812932, 1365479
92, 7024256, 1414896
93, 7148752, 1406104
94, 6920477, 1121413
95, 7006306, 133457
96, 7055703, 1318001
97, 6628644, 1200285
98, 6342577, 1230972
99, 6676711, 1281432
100, 6888741, 1154759
101, 6487434, 1020927
102, 6709272, 130353
103, 6834761, 1341842
104, 6561073, 9864133
105, 6775551, 1145599
106, 680212, 1234917
107, 6766193, 123048
108, 663146, 1264772
109, 6943706, 128417
110, 6383624, 1271941
111, 6772277, 1220562
112, 7005098, 1276064
113, 7018602, 1316423
114, 6594588, 1118955
115, 70007, 122039
116, 6861129, 1285547
117, 6880817, 1326792
118, 6976212, 1360632
119, 6545539, 1159403
120, 6882534, 1369041
121, 658003, 1198804
122, 6721474, 1090055
123, 6942021, 1282705
124, 6894396, 1352913
125, 679415, 1068558
126, 6562506, 1232939
127, 6649607, 1095143
128, 6792809, 1193087
129, 6889415, 1402402
130, 70241, 1339841
131, 6826623, 1325807
132, 7123161, 1306988
133, 6909747, 1155637
134, 6439693, 1237941
135, 7109585, 1281427
136, 6821868, 1359646
137, 6591721, 1166273
138, 674369, 1268241
139, 7390107, 1513913
140, 6998149, 1304022
141, 6951862, 1362068
142, 6518437, 1133989
143, 6800869, 1253287
144, 683384, 1275846
145, 6518417, 1071564
146, 6826209, 1164588
147, 6856865, 1338402
148, 6449675, 1128901
149, 6871053, 1307568
150, 6889148, 1377571
151, 6954011, 1254036
