"Index", "Girth (in)", "Height (ft)", "Volume(ft^3)"
 1,   83,     70,   103
 2,   86,     65,   103
 3,   88,     63,   102
 4,  105,     72,   164
 5,  107,     81,   188
 6,  108,     83,   197
 7,  110,     66,   156
 8,  110,     75,   182
 9,  111,     80,   226
10,  112,     75,   199
11,  113,     79,   242
12,  114,     76,   210
13,  114,     76,   214
14,  117,     69,   213
15,  120,     75,   191
16,  129,     74,   222
17,  129,     85,   338
18,  133,     86,   274
19,  137,     71,   257
20,  138,     64,   249
21,  140,     78,   345
22,  142,     80,   317
23,  145,     74,   363
24,  160,     72,   383
25,  163,     77,   426
26,  173,     81,   554
27,  175,     82,   557
28,  179,     80,   583
29,  180,     80,   515
30,  180,     80,   510
31,  206,     87,   770

